City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Bataipora,BR,-22.2953,-53.2711,89.6,38,37,3.78,Clouds
104,Carnarvon,AU,-24.8667,113.6333,75.27,83,1,19.57,Clear
105,Moron,AR,-34.6534,-58.6198,91.29,29,3,7.09,Clear
106,San Cristobal,VE,7.7669,-72.225,77.18,43,77,6.76,Clouds
107,Jalu,LY,29.0331,21.5482,61.83,56,41,23.64,Clouds
108,Lebu,CL,-37.6167,-73.65,61.68,65,1,10.47,Clear
109,Capitan Bado,PY,-23.2667,-55.5333,92.95,26,27,10.0,Clouds
110,Myitkyina,MM,25.3833,97.4,59.29,77,1,2.33,Clear
111,Belomorsk,RU,64.5232,34.7668,19.62,96,100,5.68,Snow
112,Beyneu,KZ,45.3167,55.2,31.08,88,83,7.09,Clouds
113,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,21.85,Clouds
114,Gafanha Da Encarnacao,PT,40.6181,-8.733,69.91,60,99,11.23,Clouds
115,Gobabis,NA,-22.45,18.9667,91.04,13,33,13.89,Clouds
116,Fortuna,US,40.5982,-124.1573,41.92,100,90,0.0,Rain
117,Mahebourg,MU,-20.4081,57.7,77.29,73,40,6.91,Clouds
118,Cherskiy,RU,68.75,161.3,-29.07,100,95,0.58,Clouds
119,Coahuayana,MX,18.7333,-103.6833,87.28,52,1,3.29,Clear
120,Silver City,US,32.7701,-108.2803,38.93,95,100,4.21,Rain
121,Taoudenni,ML,22.6783,-3.9836,80.53,14,0,10.02,Clear
122,Bokhan,RU,53.153,103.7714,-14.93,100,73,3.44,Clouds
123,Bengkulu,ID,-3.8004,102.2655,75.96,88,94,3.2,Rain
124,Georgetown,MY,5.4112,100.3354,80.53,88,20,4.61,Clouds
125,Hami,CN,42.8,93.45,19.54,60,0,4.76,Clear
126,Barrow,US,71.2906,-156.7887,-20.18,69,40,4.61,Haze
127,Dingle,PH,10.9995,122.6711,74.52,84,100,12.95,Rain
